symbol,last,turnover24h,price24h_pct,1D,4H,1H,15m,1D_protected_low,1D_protected_high,1D_last_bos_side,1D_last_bos_level,1D_last_choch_side,1D_last_choch_level,4H_location,1H_location,15m_rsi,long_score,long_grade,long_rr,long_entry,long_stop_hint,long_target_hint,long_15m_trigger,long_5m_trigger,long_sweep15,long_mss15,long_disp15,long_fvg5,long_htf_aligned,long_chase_penalty,long_entry_model_ready,long_reasons,short_score,short_grade,short_rr,short_entry,short_stop_hint,short_target_hint,short_15m_trigger,short_5m_trigger,short_sweep15,short_mss15,short_disp15,short_fvg5,short_htf_aligned,short_chase_penalty,short_entry_model_ready,short_reasons,rs_vs_btc_30m_pct,rs_vs_btc_1h_pct,rs_vs_btc_4h_pct,btc_return_30m_pct,btc_return_1h_pct,btc_return_4h_pct,long_relative_strength_adj,short_relative_strength_adj,long_rs_persistence_bonus,short_rs_persistence_bonus,long_rs_positive_horizons,short_rs_positive_horizons,oi_change_15m_pct,oi_change_1h_pct,oi_change_4h_pct,long_oi_adj,short_oi_adj,oi_accelerating,long_score_base,short_score_base
ENAUSDT,0.17489,147009352.049,7.161199999999999,bullish,bullish,bullish,bullish,0.08104,0.09263,bearish,0.08559,bullish,0.09263,premium,premium,51.29970753244925,17.26453534156953,B+,1.2971014492753796,0.17489,0.17351,0.17668,0,1,False,False,False,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-13.390562538151062,C,0.7709497206703808,0.17489,0.17668,0.17351,1,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,0.4368176788520084,0.03734114538183064,1.2726999902535674,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,2.0712028234165913,-0.8212028234165911,1.25,0.0,3,0,0.4250799346663614,3.6974026622090594,3.4814696683250324,2.4792930835113944,1.092752579228988,False,12.714039434641546,-13.662112293963458
ARBUSDT,0.21053,142957761.6472,-1.2041,bullish,bullish,bullish,bearish,0.13098,0.08402,bullish,0.20699,bullish,0.08402,premium,premium,39.75529736889542,11.872484799973234,B+,2.524886877828066,0.21053,0.20832,0.21611,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m reverse,-6.874994938149104,C,0.3960573476702489,0.21053,0.21611,0.20832,1,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m bearish | 4H premium,0.3101649318850819,-0.20809710287925665,-2.4392867019196407,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-0.8854724371235188,1.3854724371235188,0.0,0.5,1,2,1.3726262830153324,1.349160091471635,0.5111087794922531,1.7209872634245484,2.8813921812129952,True,11.036969973672203,-11.141859556485617
SOXLUSDT,120.6,122378198.5469,3.4825000000000004,bearish,bullish,bullish,bullish,226.25,128.91,bearish,112.85,bearish,226.25,premium,premium,32.613404346153544,-1.658908996175477,C,,120.6,121.07,121.41,0,0,False,False,False,bearish,False,0.0,False,1D reverse | 4H bullish | 1H bullish | 15m bullish,5.500320494826459,C,6.851851851851829,120.6,121.41,115.05,3,1,False,True,False,bearish,False,0.0,False,1D bearish | 4H reverse | 1H reverse | 15m reverse | 4H premium,-0.23351680775418604,-0.5465814146386028,-0.28183990270533865,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-0.574499425115877,1.824499425115877,0.0,1.25,0,3,0.16540173987094065,-0.1189025924545839,-0.11976572594799562,0.00550880656855953,0.7657394473387416,False,-1.0899183776281596,2.910081622371841
SNDKUSDT,1778.07,106771453.8946,8.902000000000001,bullish,bullish,bullish,bullish,1450.0,1695.38,bullish,1609.64,bullish,1695.38,premium,premium,47.97130428302708,13.832547922033514,B+,10.535714285715477,1778.07,1777.51,1783.97,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-13.28338913755386,C,0.0949152542372774,1778.07,1783.97,1777.51,1,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,0.007805803799698641,-0.1236070120585131,0.32218110401196487,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,0.0648563840518177,-0.0648563840518177,0.0,0.0,2,1,-0.0014920152318076418,-0.34808667969582485,-0.9714029606694097,-0.043690524619004426,0.6251699296599873,False,13.8113820626007,-13.843702683162029
SUIUSDT,0.8159,104490113.367,5.2848,bearish,bullish,bullish,bullish,0.7031,0.845,bullish,0.8023,bearish,0.7031,premium,premium,42.87748524965384,-3.0034224056931476,C,,0.8159,0.8211,0.831,0,0,False,False,False,bearish,False,0.0,False,1D reverse | 4H bullish | 1H bullish | 15m bullish,7.961365316096059,C,2.3178807947019813,0.8159,0.831,0.7809,3,3,False,True,False,bearish,False,0.0,False,1D bearish | 4H reverse | 1H reverse | 15m reverse | 4H premium,-1.1766279756278863,-1.231802506940538,-1.1316830463512284,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-1.8924826224271927,3.8924826224271927,0.0,2.0,0,3,-0.12905062058647943,0.028911667690190157,0.7174354762960133,0.00643013658691364,0.7683718188197532,False,-1.1173699198528688,3.300510874849113
XAUUSDT,4383.14,99020814.4148,-0.1478,bearish,bullish,bullish,bearish,4332.0,4448.1,bearish,4296.3,bearish,4332.0,premium,premium,46.30689865385827,-1.3030953320386855,C,77.88888888875528,4383.14,4383.05,4390.15,0,0,False,False,False,bearish,False,0.0,False,1D reverse | 4H bullish | 1H bullish | 15m reverse,1.9109380478878402,C,0.0128388017118622,4383.14,4390.15,4383.05,1,1,False,False,False,bearish,False,0.0,False,1D bearish | 4H reverse | 1H reverse | 15m bearish | 4H premium,0.07774795192871942,-0.019192219350405715,0.3323466749392545,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,0.1740229950919542,-0.1740229950919542,0.0,0.0,2,1,-0.005674606977701391,0.014223297820037395,-0.031401111131934556,-0.00040892470846169227,0.7488316436901095,False,-1.476709402422178,1.336129399289685
ADAUSDT,0.2244,95399839.8992,5.5007,bullish,bullish,bullish,bearish,0.1901,0.1807,bullish,0.2158,bullish,0.1807,premium,premium,39.9302514817314,6.856947960658419,B,,0.2244,0.225,0.2351,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m reverse,-2.5668700517340937,C,1.093457943925231,0.2244,0.2351,0.2127,3,3,False,True,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m bearish | 4H premium,-0.7797691118745398,-1.4812532117717492,-4.207847906517792,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-2.5493478731752064,5.299347873175206,0.0,2.75,0,3,-0.4167833664842968,-0.2511409390427377,0.7905005443204827,-0.0355232245136207,0.6485050728182266,False,9.441819058347246,-8.514722997727526
1000PEPEUSDT,0.003755,86231620.2242,2.8727,bullish,bullish,bearish,bearish,0.003266,0.002961,bullish,0.00359,bullish,0.002961,premium,premium,42.24264643449903,2.5100943499305672,C,,0.003755,0.003755,0.003799,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H reverse | 15m reverse,-2.1912806356582504,C,1.977272727272744,0.003755,0.003799,0.003668,1,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H bearish | 15m bearish | 4H premium,-0.5305202082634852,-1.1715159996362412,0.06055371870214987,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-0.9855076111577585,0.9855076111577585,0.0,0.0,1,2,-0.31544898342699135,-0.5457923975808909,0.36534821021416697,-0.05366465740304208,0.5966724074198797,False,3.549266618491368,-3.773460654235889
CLUSDT,96.0,86216010.4569,-0.1975,bullish,bearish,bullish,bearish,88.65,88.26,bullish,92.96,bullish,88.26,discount,equilibrium,55.21148756713885,5.831522141613312,C,0.2,96.0,95.85,96.03,0,1,False,False,False,bullish,False,0.0,False,1D bullish | 4H reverse | 1H bullish | 15m reverse | 4H discount,-3.871945474106819,C,5.0,96.0,96.03,95.85,1,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H bearish | 1H reverse | 15m bearish,0.053489627773029014,0.014567289768074865,0.2697909343531424,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,1.401733807860065,-0.15173380786006488,1.25,0.0,3,0,0.19106745681538584,1.1258802898199916,0.8643164879388765,0.855553164743876,0.855553164743876,False,3.5742351690093708,-4.57576483099063
ONDOUSDT,0.399,73457836.0425,3.7672,bullish,bullish,bullish,bullish,0.3229,0.3952,bullish,0.3867,bullish,0.3952,premium,premium,40.81251013741266,11.718912684465781,B+,14.624999999999568,0.399,0.3982,0.4107,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-8.311923976430382,C,0.0683760683760704,0.399,0.4107,0.3982,1,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,-0.5442591535960606,-1.4480008807822409,-2.1965376105243517,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-2.0523349731785023,4.802334973178502,0.0,2.75,0,3,-0.1696431629030437,0.06228947892885639,1.5826456528127864,0.02483240543041232,0.8209497298011781,False,13.746415252213872,-13.935208679410062
